n_objects,create_ms,delete_ms,update_ms,create_cpu_pct,delete_cpu_pct,update_cpu_pct,create_mem_mb,delete_mem_mb,update_mem_mb,run
10,1.87,4.54,4.699,2.7,1.7,1.7,2764.8,2773.2,2779.6,1
10,1.68,2.612,4.915,1.2,29.9,0.8,2781.0,2809.7,2811.9,2
10,1.53,5.154,4.797,2.2,7.0,5.2,2813.3,2813.6,2812.7,3
50,1.661,4.671,4.835,5.2,1.0,0.9,2809.8,2810.2,2809.6,1
50,1.543,4.412,4.553,1.3,4.1,7.5,2808.2,2808.2,2805.7,2
50,1.909,3.808,4.52,10.0,5.6,1.1,2804.8,2810.5,2810.3,3
100,1.626,2.911,2.73,5.6,12.9,7.9,2804.0,2768.7,2757.3,1
100,1.527,4.044,5.055,23.7,34.0,8.6,2786.4,2859.9,2859.4,2
100,1.617,4.269,4.354,3.0,0.0,1.1,2857.1,2858.6,2858.9,3
200,3.754,4.615,4.694,4.4,3.9,1.2,2865.8,2865.5,2875.9,1
200,1.618,4.645,3.402,0.0,7.9,4.9,2868.7,2869.3,2872.5,2
200,1.872,3.886,4.781,8.2,4.5,1.1,2887.9,2895.9,2892.7,3
500,1.486,4.388,3.299,1.8,9.8,8.2,2889.9,2886.9,2891.3,1
500,1.713,2.934,4.726,2.5,3.8,4.6,2922.3,2923.5,2920.1,2
500,1.368,3.762,3.924,10.1,1.8,7.7,2898.3,2897.2,2900.5,3
